Code,Subject,              Level,Year, Total,         1,        2,        3,        4,        5,        6,        7,        8,
223,RELIGIOUS EDUCATION    ,G,   2024,   97,         1.00,     8.20,    21.60,    20.60,    20.60,    15.50,     8.20,     4.10,
225,PHYSICAL EDUCATION     ,A,   2024, 7392,        11.20,    28.60,    24.90,    19.40,    10.70,     3.60,     0.90,     0.70,
225,PHYSICAL EDUCATION     ,G,   2024,  634,         2.40,    13.70,    26.20,    22.20,    12.60,    10.70,     6.60,     5.50,
547,CZECH                  ,A,   2024,   15,        46.70,    13.30,    20.00,    13.30,     6.70,     0.00,     0.00,     0.00,
548,POLISH                 ,A,   2024,  998,        41.80,    30.00,    16.70,     7.00,     1.90,     0.80,     1.30,     0.50,
548,POLISH                 ,G,   2024,   52,        32.70,    26.90,    13.50,    15.40,     7.70,     0.00,     3.80,     0.00,
549,LATVIAN                ,A,   2024,   52,        36.50,     9.60,    13.50,     5.80,    11.50,     7.70,     7.70,     7.70,
550,LITHUANIAN             ,A,   2024,  251,        61.80,    18.30,     8.80,     7.60,     1.60,     1.20,     0.80,     0.00,
550,LITHUANIAN             ,G,   2024,   14,        35.70,    14.30,    28.60,    14.30,     0.00,     7.10,     0.00,     0.00,
551,HUNGARIAN              ,A,   2024,   35,        17.10,    25.70,     8.60,     5.70,     8.60,    14.30,     8.60,    11.40,
553,ROMANIAN               ,A,   2024,  421,        27.30,    23.30,    24.50,    12.40,     7.80,     3.10,     0.50,     1.20,
554,SLOVAKIAN              ,A,   2024,   28,        35.70,    14.30,    21.40,    14.30,     3.60,     7.10,     3.60,     0.00,
559,BULGARIAN              ,A,   2024,   27,        18.50,    29.60,    25.90,     3.70,    18.50,     0.00,     0.00,     3.70,
562,DESIGN & COMMUNICATION ,A,   2024, 5370,        17.50,    23.00,    24.40,    19.10,    10.10,     3.60,     1.60,     0.70,
562,DESIGN & COMMUNICATION ,G,   2024,  793,        14.50,    20.90,    25.50,    16.50,     9.80,     4.50,     4.30,     3.90,
566,MANDARIN CHINESE       ,A,   2024,  337,        95.00,     2.70,     0.90,     0.30,     0.30,     0.60,     0.30,     0.00,
567,CROATIAN               ,A,   2024,  103,        27.20,    27.20,    17.50,    10.70,     9.70,     5.80,     0.00,     1.90,
568,POLITICS AND SOCIETY   ,A,   2024, 2350,        13.40,    25.50,    25.30,    18.30,     9.10,     5.70,     1.30,     1.20,
568,POLITICS AND SOCIETY   ,G,   2024,  296,         1.70,    10.10,    23.60,    23.00,    21.30,    11.50,     5.40,     3.40,
                            A,

