Code,Subject,              Level,Year, Total,         1,        2,        3,        4,        5,        6,        7,        8,
548,POLISH                 ,G,   2023,   40,        32.50,    22.50,    20.00,     7.50,     7.50,     7.50,     2.50,     0.00,
549,LATVIAN                ,A,   2023,   59,         3.40,     8.50,    15.30,    27.10,    15.30,     8.50,     5.10,    16.90,
550,LITHUANIAN             ,A,   2023,  193,        60.10,    24.40,     7.80,     2.10,     4.10,     0.50,     1.00,     0.00,
550,LITHUANIAN             ,G,   2023,   17,        52.90,     5.90,    17.60,     5.90,     5.90,     5.90,     5.90,     0.00,
551,HUNGARIAN              ,A,   2023,   51,        23.50,    23.50,    13.70,    17.60,     5.90,     3.90,     5.90,     5.90,
553,ROMANIAN               ,A,   2023,  367,        25.10,    18.80,    25.60,    20.40,     6.50,     1.40,     0.00,     2.20,
554,SLOVAKIAN              ,A,   2023,   20,        35.00,    15.00,    15.00,    10.00,    20.00,     0.00,     5.00,     0.00,
559,BULGARIAN              ,A,   2023,   27,         3.70,    44.40,    33.30,    11.10,     3.70,     0.00,     0.00,     3.70,
562,DESIGN & COMMUNICATION ,A,   2023, 5234,        18.50,    22.70,    21.70,    18.30,    11.50,     4.60,     2.00,     0.60,
562,DESIGN & COMMUNICATION ,G,   2023,  794,        11.00,    24.40,    23.40,    17.00,     9.30,     6.00,     5.30,     3.50,
566,MANDARIN CHINESE       ,A,   2023,  335,        91.90,     4.50,     1.50,     0.60,     0.30,     1.20,     0.00,     0.00,
567,CROATIAN               ,A,   2023,   95,        27.40,    29.50,    16.80,    14.70,     8.40,     2.10,     0.00,     1.10,
568,POLITICS AND SOCIETY   ,A,   2023, 2151,        17.40,    28.60,    24.70,    14.70,     8.70,     4.10,     1.20,     0.60,
568,POLITICS AND SOCIETY   ,G,   2023,  353,         3.70,    17.60,    32.30,    22.10,    14.70,     5.90,     2.80,     0.80,
                            A,

