Code,Subject,              Level,Year, Total,1,2,3,4,5,6,7,8
29,CONSTRUCTION STUDIES   ,G,2024,1010,0.4,6.8,25.2,25.8,18.5,10.4,7.7,5
32,ACCOUNTING             ,A,2024,5251,20.7,20.9,15.7,12.4,10.7,9.8,4.2,5.7
32,ACCOUNTING             ,G,2024,2187,19,14.4,13.1,11.3,10.4,11.7,6.9,13.2
33,BUSINESS               ,A,2024,16565,12.2,17.5,17.5,16.7,14.8,13.3,5.3,2.7
33,BUSINESS               ,G,2024,3218,5.3,14.8,22.1,22.4,17.3,9.9,4.8,3.4
34,ECONOMICS              ,A,2024,4264,11.6,23.7,21.4,18.4,14.1,7,2.8,0.8
34,ECONOMICS              ,G,2024,480,5.4,20.2,25.4,24.6,13.5,6.9,2.7,1.3
39,SWEDISH                ,A,2024,18,11.1,44.4,11.1,22.2,5.6,0,0,5.6
58,JAPANESE               ,A,2024,278,33.1,16.2,18.7,10.8,13.7,4,2.9,0.7
58,JAPANESE               ,G,2024,59,1.7,10.2,23.7,25.4,16.9,13.6,8.5,0
59,ARABIC                 ,A,2024,256,8.2,16.4,21.1,17.6,8.6,15.2,2.3,10.5
59,ARABIC                 ,G,2024,34,5.9,8.8,20.6,14.7,14.7,11.8,2.9,20.6
65,TECHNOLOGY             ,A,2024,2127,17.4,23.5,23,18.5,10.5,4.3,1.9,1
65,TECHNOLOGY             ,G,2024,169,4.1,17.2,16,20.1,15.4,13.6,7.1,6.5
67,MUSIC                  ,A,2024,6027,20.6,40.9,24.8,10.1,2.7,0.6,0.1,0.2
67,MUSIC                  ,G,2024,501,6.2,25.3,30.7,21.8,11.2,2.4,2,0.4
98,HOME ECONOMICS S & S   ,A,2024,8275,13.9,23,23.1,19.3,12.9,5.7,1.6,0.5
98,HOME ECONOMICS S & S   ,G,2024,1800,3.7,15.6,25.4,22.1,17.8,9.7,3.7,2
99,RUSSIAN                ,A,2024,833,77.6,11.6,6.1,3,1.1,0.5,0.1,0
99,RUSSIAN                ,G,2024,22,45.5,36.4,13.6,0,0,0,4.5,0
219,COMPUTER SCIENCE       ,A,2024,2471,17,23.6,22.5,16.4,10,5.9,2.9,1.7
219,COMPUTER SCIENCE       ,G,2024,349,13.2,22.6,22.1,13.5,12.9,7.7,3.7,4.3
223,RELIGIOUS EDUCATION    ,A,2024,1154,11.2,24.4,29.5,19.7,10.6,3.5,0.7,0.5
223,RELIGIOUS EDUCATION    ,G,2024,97,1,8.2,21.6,20.6,20.6,15.5,8.2,4.1
225,PHYSICAL EDUCATION     ,A,2024,7392,11.2,28.6,24.9,19.4,10.7,3.6,0.9,0.7
225,PHYSICAL EDUCATION     ,G,2024,634,2.4,13.7,26.2,22.2,12.6,10.7,6.6,5.5
547,CZECH                  ,A,2024,15,46.7,13.3,20,13.3,6.7,0,0,0
548,POLISH                 ,A,2024,998,41.8,30,16.7,7,1.9,0.8,1.3,0.5
548,POLISH                 ,G,2024,52,32.7,26.9,13.5,15.4,7.7,0,3.8,0
549,LATVIAN                ,A,2024,52,36.5,9.6,13.5,5.8,11.5,7.7,7.7,7.7
550,LITHUANIAN             ,A,2024,251,61.8,18.3,8.8,7.6,1.6,1.2,0.8,0
550,LITHUANIAN             ,G,2024,14,35.7,14.3,28.6,14.3,0,7.1,0,0
551,HUNGARIAN              ,A,2024,35,17.1,25.7,8.6,5.7,8.6,14.3,8.6,11.4
553,ROMANIAN               ,A,2024,421,27.3,23.3,24.5,12.4,7.8,3.1,0.5,1.2
554,SLOVAKIAN              ,A,2024,28,35.7,14.3,21.4,14.3,3.6,7.1,3.6,0
559,BULGARIAN              ,A,2024,27,18.5,29.6,25.9,3.7,18.5,0,0,3.7
562,DESIGN & COMMUNICATION ,A,2024,5370,17.5,23,24.4,19.1,10.1,3.6,1.6,0.7
562,DESIGN & COMMUNICATION ,G,2024,793,14.5,20.9,25.5,16.5,9.8,4.5,4.3,3.9
566,MANDARIN CHINESE       ,A,2024,337,95,2.7,0.9,0.3,0.3,0.6,0.3,0
567,CROATIAN               ,A,2024,103,27.2,27.2,17.5,10.7,9.7,5.8,0,1.9
568,POLITICS AND SOCIETY   ,A,2024,2350,13.4,25.5,25.3,18.3,9.1,5.7,1.3,1.2
568,POLITICS AND SOCIETY   ,G,2024,296,1.7,10.1,23.6,23,21.3,11.5,5.4,3.4
1,IRISH                  ,A,2023,23899,15.7,21.8,23.7,21.1,12.8,4.1,0.7,0.1
1,IRISH                  ,B,2023,2408,4.2,12.7,21.1,24,19,11.7,5.8,1.5
1,IRISH                  ,G,2023,22851,2.3,13.5,24.6,25.4,18.3,9.7,4.3,1.8
2,ENGLISH                ,A,2023,43275,7.5,17.9,29,27.5,14.3,3,0.5,0.2
2,ENGLISH                ,G,2023,13998,4.2,16.7,29.6,26.6,14.6,5.7,1.4,1.2
3,MATHEMATICS            ,A,2023,20516,11.2,16.7,21.9,23,16.6,7.7,2.3,0.5
3,MATHEMATICS            ,B,2023,3612,9.8,20.2,24.9,22.1,14.6,5.6,2.2,0.7
3,MATHEMATICS            ,G,2023,33220,9.2,23.9,25.3,18.6,11.5,6.3,3.3,2
4,HISTORY                ,A,2023,9503,15.5,19,21.9,19.2,14.3,7.2,2.4,0.6
4,HISTORY                ,G,2023,3006,8.3,16,21.7,25.1,19.5,6,2.4,0.9
5,GEOGRAPHY              ,A,2023,16889,12.9,19.2,23.6,21.8,15.8,5.6,0.9,0.2
5,GEOGRAPHY              ,G,2023,3531,4.6,13.7,29,28,15.8,6.3,2.1,0.5
